"scheme_name","source_sheet","unit_label","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading_date","latest_reading"
"Genesis","Genesis","GEN 06","GEN 06","GEN 06","UNIT","GEN_06","","1,952887508","02/03/2026","110071"
"Genesis","Genesis","GEN 07","GEN 07","GEN 07","UNIT","GEN_07","","1,814800539","02/03/2026","97579"
"Genesis","Genesis","GEN 08","GEN 08","GEN 08","UNIT","GEN_08","","1,874009052","02/03/2026","91507,3"
"Genesis","Genesis","GEN 09","GEN 09","GEN 09","UNIT","GEN_09","","1,893678994","02/03/2026","81823,1"
"Genesis","Genesis","GEN 10","GEN 10","GEN 10","UNIT","GEN_10","","1,834470481","02/03/2026","98788,5"
"Genesis","Genesis","GEN 11","GEN 11","GEN 11","UNIT","GEN_11","","2,307939901","02/03/2026","124098"
"Genesis","Genesis","GEN 12","GEN 12","GEN 12","UNIT","GEN_12","","2,406686986","02/03/2026","144649,3"
"Genesis","Genesis","GEN 13","GEN 13","GEN 13","UNIT","GEN_13","","1,874009052","02/03/2026","108547,2"
"Genesis","Genesis","GEN 14","GEN 14","GEN 14","UNIT","GEN_14","","2,584113839","02/03/2026","128535,8"
"Genesis","Genesis","GEN 15","GEN 15","GEN 15","UNIT","GEN_15","","1,262452663","02/03/2026","66254,9"
"Genesis","Genesis","GEN 16","GEN 16","GEN 16","UNIT","GEN_16","","1,893678994","02/03/2026","84289,8"
"Genesis","Genesis","GEN 17","GEN 17","GEN 17","UNIT","GEN_17","","1,933217565","02/03/2026","91374,9"
"Genesis","Genesis","GEN 18","GEN 18","GEN 18","UNIT","GEN_18","","1,795130596","02/03/2026","102548,7"
"Genesis","Genesis","GEN 19","GEN 19","GEN 19","UNIT","GEN_19","","1,893678994","02/03/2026","75622"
"Genesis","Genesis","GEN 20","GEN 20","GEN 20","UNIT","GEN_20","","1,893678994","02/03/2026","76914"
"Genesis","Genesis","GEN 21","GEN 21","GEN 21","UNIT","GEN_21","","2,386818357","02/03/2026","102480,9"
"Genesis","Genesis","GEN 22","GEN 22","GEN 22","UNIT","GEN_22","","0,834283716","02/03/2026","56426"
"Genesis","Genesis","GEN 23","GEN 23","GEN 23","UNIT","GEN_23","","0,850178619","02/03/2026","63315"
"Genesis","Genesis","GEN 24","GEN 24","GEN 24","UNIT","GEN_24","","0,882365797","02/03/2026","48889"
"Genesis","Genesis","GEN 25","GEN 25","GEN 25","UNIT","GEN_25","","0,850178619","02/03/2026","45975,2"
"Genesis","Genesis","GEN 26","GEN 26","GEN 26","UNIT","GEN_26","","0,802096538","02/03/2026","52698,2"
"Genesis","Genesis","GEN 27","GEN 27","GEN 27","UNIT","GEN_27","","1,588298172","02/03/2026","118576,1"
"Genesis","Genesis","GEN 28","GEN 28","GEN 28","UNIT","GEN_28","","1,475841734","02/03/2026","82423,9"
"Genesis","Genesis","GEN 29","GEN 29","GEN 29","UNIT","GEN_29","","1,524122502","02/03/2026","91559,4"
