"scheme_name","source_sheet","meter_label","linked_unit_label","meter_type","provisional_meter_key","prepaid","pq_factor","latest_reading","latest_reading_date","history_points"
"Queensgate","Queensgate","QG 21A","QG 21A","UNIT","QG_21A","","1,8868","29745","2026/03/05","98"
"Queensgate","Queensgate","QG 22A","QG 22A","UNIT","QG_22A","","1,8868","11990","2026/03/05","98"
"Queensgate","Queensgate","QG 23","QG 23","UNIT","QG_23","","1,8868","37003","2026/03/05","98"
"Queensgate","Queensgate","QG 24","QG 24","UNIT","QG_24","","1,8868","26393","2026/03/05","98"
"Queensgate","Queensgate","QG 25","QG 25","UNIT","QG_25","","1,8868","13773","2026/03/05","98"
"Queensgate","Queensgate","QG 26","QG 26","UNIT","QG_26","","1,8868","23550","2026/03/05","98"
"Queensgate","Queensgate","QG 27","QG 27","UNIT","QG_27","","1,8868","23586","2026/03/05","98"
"Queensgate","Queensgate","QG 28","QG 28","UNIT","QG_28","","1,8868","13797","2026/03/05","98"
"Queensgate","Queensgate","QG 29","QG 29","UNIT","QG_29","","1,8868","38741","2026/03/05","98"
"Queensgate","Queensgate","QG 30A","QG 30A","UNIT","QG_30A","","1,8868","24939","2026/03/05","98"
"Queensgate","Queensgate","QG 31","QG 31","UNIT","QG_31","","1,8868","30073","2026/03/05","98"
"Queensgate","Queensgate","QG 32","QG 32","UNIT","QG_32","","1,8868","5299","2026/03/05","98"
"Queensgate","Queensgate","QG 33","QG 33","UNIT","QG_33","","1,8868","16038","2026/03/05","98"
"Queensgate","Queensgate","QG 34","QG 34","UNIT","QG_34","","1,8868","38645","2026/03/05","98"
"Queensgate","Queensgate","QG 35","QG 35","UNIT","QG_35","","1,8868","41318","2026/03/05","98"
"Queensgate","Queensgate","QG 36","QG 36","UNIT","QG_36","","1,8868","5532","2026/03/05","98"
"Queensgate","Queensgate","QG 37","QG 37","UNIT","QG_37","","1,8868","60819","2026/03/05","98"
"Queensgate","Queensgate","QG  38A","QG  38A","UNIT","QG_38A","","1,8868","44220","2026/03/05","98"
