scheme_name,source_sheet,legacy_label,meter_type,reading_label,reading_date_note,reading_value,previous_reading_value,consumption
Akasia,Akasia,AK 28 / FL 213,UNIT,2024-10-21 00:00:00,missing-date,0.0,58.81,999941.19
Akasia,Akasia,AK 29 / FL 214,UNIT,2024-05-21 00:00:00,unparseable-date,5.26,2.58,2.6799999999999997
Akasia,Akasia,AK 29 / FL 214,UNIT,2024-10-21 00:00:00,missing-date,0.0,8.56,999991.44
Akasia,Akasia,AK 30 / FL 215,UNIT,2024-05-21 00:00:00,unparseable-date,28.11,14.0,14.11
Akasia,Akasia,AK 30 / FL 215,UNIT,2024-10-21 00:00:00,missing-date,0.0,29.84,999970.16
Akasia,Akasia,AK 31 / FL 36,UNIT,2024-05-21 00:00:00,unparseable-date,21.75,32.98,999988.77
Akasia,Akasia,AK 31 / FL 36,UNIT,2024-10-21 00:00:00,missing-date,0.0,38.1,999961.9
Akasia,Akasia,AK 32 / FL 35,UNIT,2024-05-21 00:00:00,unparseable-date,4.2,39.5,999964.7
Akasia,Akasia,AK 32 / FL 35,UNIT,2024-10-21 00:00:00,missing-date,0.0,0.0,0.0
Akasia,Akasia,AK 33 FL 34,UNIT,2024-05-21 00:00:00,unparseable-date,11.56,56.37,999955.19
Akasia,Akasia,AK 33 FL 34,UNIT,2024-10-21 00:00:00,missing-date,0.0,25.22,999974.78
Akasia,Akasia,AK 34 / FL 33,UNIT,2024-05-21 00:00:00,unparseable-date,52.37,9.56,42.809999999999995
Akasia,Akasia,AK 34 / FL 33,UNIT,2024-10-21 00:00:00,missing-date,0.0,46.95,999953.05
Akasia,Akasia,AK 35 / FL 32,UNIT,2024-05-21 00:00:00,unparseable-date,43.5,6.82,36.68
Akasia,Akasia,AK 35 / FL 32,UNIT,2024-10-21 00:00:00,missing-date,0.0,15.82,999984.18
Akasia,Akasia,AK 36 / FL 31,UNIT,2024-05-21 00:00:00,unparseable-date,36.5,18.75,17.75
Akasia,Akasia,AK 36 / FL 31,UNIT,2024-10-21 00:00:00,missing-date,0.0,38.6,999961.4
Akasia,Akasia,AK 37 / FL 316,UNIT,2024-05-21 00:00:00,unparseable-date,25.02,13.67,11.35
Akasia,Akasia,AK 37 / FL 316,UNIT,2024-10-21 00:00:00,missing-date,0.0,4.01,999995.99
Akasia,Akasia,AK 38 / FL 317,UNIT,2024-05-21 00:00:00,unparseable-date,23.52,16.52,7.0
Akasia,Akasia,AK 38 / FL 317,UNIT,2024-10-21 00:00:00,missing-date,0.0,20.61,999979.39
Akasia,Akasia,AK 39 / FL 318,UNIT,2024-05-21 00:00:00,unparseable-date,74.28,89.02,999985.26
Akasia,Akasia,AK 39 / FL 318,UNIT,2024-10-21 00:00:00,missing-date,0.0,67.18,999932.82
Akasia,Akasia,AK 40 / FL 319,UNIT,2024-05-21 00:00:00,unparseable-date,35.07,28.97,6.100000000000001
Akasia,Akasia,AK 40 / FL 319,UNIT,2024-10-21 00:00:00,missing-date,0.0,5.64,999994.36
Akasia,Akasia,AK 41 / FL 320,UNIT,2024-05-21 00:00:00,unparseable-date,7.11,9.28,999997.83
Akasia,Akasia,AK 41 / FL 320,UNIT,2024-10-21 00:00:00,missing-date,0.0,38.18,999961.82
Akasia,Akasia,AK 42 / FL 312,UNIT,2024-05-21 00:00:00,unparseable-date,37.2,23.03,14.170000000000002
Akasia,Akasia,AK 42 / FL 312,UNIT,2024-10-21 00:00:00,missing-date,0.0,23.33,999976.67
Akasia,Akasia,AK 43 / FL 313,UNIT,2024-05-21 00:00:00,unparseable-date,21.03,3.54,17.490000000000002
Akasia,Akasia,AK 43 / FL 313,UNIT,2024-10-21 00:00:00,missing-date,0.0,9.32,990.68
Akasia,Akasia,AK 44 / FL 314,UNIT,2024-05-21 00:00:00,unparseable-date,148.23,167.94,999980.29
Akasia,Akasia,AK 44 / FL 314,UNIT,2024-10-21 00:00:00,missing-date,0.0,32.64,999967.36
Akasia,Akasia,AK 45 / FL 315,UNIT,2024-05-21 00:00:00,unparseable-date,11.45,7.21,4.239999999999999
Akasia,Akasia,AK 45 / FL 315,UNIT,2024-10-21 00:00:00,missing-date,0.0,25.32,999974.68
Akasia,Akasia,AK 46 / FL 46,UNIT,2024-05-21 00:00:00,unparseable-date,29.48,36.11,999993.37
Akasia,Akasia,AK 46 / FL 46,UNIT,2024-10-21 00:00:00,missing-date,0.0,10.6,999989.4
